uid	dataid	image	mask
i0021	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-21.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-21.nii	
i0022	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-22.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-22.nii	
i0023	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-23.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-23.nii	
i0024	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-24.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-24.nii	
i0025	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-25.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-25.nii	
i0026	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-26.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-26.nii	
i0027	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-27.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-27.nii	
i0028	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-28.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-28.nii	
i0029	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-29.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-29.nii	
i0030	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-30.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-30.nii	
i0031	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-31.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-31.nii	
i0032	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-32.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-32.nii	
i0033	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-33.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-33.nii	
i0034	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-34.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-34.nii	
i0035	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-35.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-35.nii	
i0036	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-36.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-36.nii	
i0037	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-37.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-37.nii	
i0038	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-38.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-38.nii	
i0039	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-39.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-39.nii	
i0040	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-40.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-40.nii	
i0041	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-41.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-41.nii	
i0042	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-42.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-42.nii	
i0043	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-43.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-43.nii	
i0044	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-44.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-44.nii	
i0045	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-45.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-45.nii	
i0046	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-46.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-46.nii	
i0047	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-47.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-47.nii	
i0048	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-48.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-48.nii	
i0049	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-49.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-49.nii	
i0050	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-50.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-50.nii	
i0051	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-51.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-51.nii	
i0052	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-52.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-52.nii	
i0053	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-53.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-53.nii	
i0054	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-54.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-54.nii	
i0055	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-55.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-55.nii	
i0056	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-56.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-56.nii	
i0057	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-57.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-57.nii	
i0058	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-58.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-58.nii	
i0059	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-59.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-59.nii	
i0060	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-60.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-60.nii	
i0061	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-61.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-61.nii	
i0062	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-62.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-62.nii	
i0063	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-63.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-63.nii	
i0064	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-64.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-64.nii	
i0065	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-65.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-65.nii	
i0066	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-66.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-66.nii	
i0067	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-67.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-67.nii	
i0068	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-68.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-68.nii	
i0069	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-69.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-69.nii	
i0070	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-70.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-70.nii	
i0071	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-71.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-71.nii	
i0072	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-72.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-72.nii	
i0073	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-73.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-73.nii	
i0074	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-74.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-74.nii	
i0075	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-75.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-75.nii	
i0076	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-76.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-76.nii	
i0077	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-77.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-77.nii	
i0078	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-78.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-78.nii	
i0079	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-79.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-79.nii	
i0080	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-80.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-80.nii	
i0081	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-81.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-81.nii	
i0082	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-82.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-82.nii	
i0083	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-83.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-83.nii	
i0084	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-84.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-84.nii	
i0085	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-85.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-85.nii	
i0086	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-86.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-86.nii	
i0087	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-87.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-87.nii	
i0088	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-88.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-88.nii	
i0089	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-89.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-89.nii	
i0090	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-90.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-90.nii	
i0091	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-91.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-91.nii	
i0092	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-92.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-92.nii	
i0093	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-93.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-93.nii	
i0094	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-94.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-94.nii	
i0095	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-95.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-95.nii	
i0096	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-96.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-96.nii	
i0097	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-97.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-97.nii	
i0098	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-98.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-98.nii	
i0099	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-99.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-99.nii	
i0100	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-100.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-100.nii	
i0101	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-101.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-101.nii	
i0102	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-102.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-102.nii	
i0103	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-103.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-103.nii	
i0104	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-104.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-104.nii	
i0105	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-105.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-105.nii	
i0106	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-106.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-106.nii	
i0107	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-107.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-107.nii	
i0108	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-108.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-108.nii	
i0109	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-109.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-109.nii	
i0110	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-110.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-110.nii	
i0111	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-111.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-111.nii	
i0112	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-112.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-112.nii	
i0113	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-113.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-113.nii	
i0114	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-114.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-114.nii	
i0115	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-115.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-115.nii	
i0116	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-116.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-116.nii	
i0117	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-117.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-117.nii	
i0118	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-118.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-118.nii	
i0119	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-119.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-119.nii	
i0120	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-120.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-120.nii	
i0121	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-121.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-121.nii	
i0122	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-122.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-122.nii	
i0123	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-123.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-123.nii	
i0124	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-124.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-124.nii	
i0125	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-125.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-125.nii	
i0126	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-126.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-126.nii	
i0127	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-127.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-127.nii	
i0128	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-128.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-128.nii	
i0129	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-129.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-129.nii	
i0130	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/segmentation-130.nii	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch2/volume-130.nii	
